,gene,pLI,oe_lof,oe_lof_lower,oe_lof_upper
257,DMXL1,1.0,0.13771,0.095,0.202
258,ABL1,0.99998,0.068016,0.03,0.176
259,HID1,0.026841000000000004,0.27744,0.17,0.471
260,NUP85,1.0,0.046109,0.018,0.145
261,FDX1,0.086575,0.44298000000000004,0.18,1.361
262,SSPO,[],[],[],[]
263,RBM27,0.9999899999999999,0.10960999999999999,0.061,0.206
264,TMEM67,2.0654e-24,0.73805,0.582,0.944
265,GAA,2.8174e-18,0.73674,0.56,0.981
266,ANK2,1.0,0.062573,0.038,0.106
267,COL1A1,1.0,0.0461,0.022,0.105
268,DMGDH,2.0503000000000003e-24,0.8980799999999999,0.694,1.173
269,TRAPPC5,0.22841,0.31865,0.111,1.422
270,PTPN11,0.99998,0.028439,0.009,0.135
271,COL6A1,0.99995,0.12599000000000002,0.073,0.227
272,ARID1A,1.0,0.022463,0.008,0.071
273,MYH11,0.77299,0.2169,0.156,0.305
274,RELN,1.0,0.12412999999999999,0.088,0.176
275,TPP1,6.256399999999999e-07,0.50825,0.339,0.783
276,KIAA1210,0.0091034,0.28058,0.182,0.446
277,MEX3C,0.86192,0.131,0.053,0.412
278,TSFM,1.9197e-09,0.93132,0.614,1.453
279,LAMA2,2.4118e-47,0.62084,0.528,0.732
280,NOTCH1,1.0,0.046153,0.023,0.097
281,GRIN2A,0.99998,0.08196,0.039,0.188
282,CACNA1H,4.7778e-10,0.3753,0.282,0.504
283,KDM5C,1.0,0.072601,0.035,0.166
284,CACNA1C,1.0,0.048672,0.024,0.102
285,TUBB3,0.9676100000000001,0.066472,0.023,0.315
286,ADAMTS10,0.84288,0.20355,0.129,0.33
287,ATG4D,0.00026752,0.4227,0.26,0.717
288,RECQL5,3.1723e-18,0.7340800000000001,0.558,0.977
289,FLNA,1.0,0.026139999999999997,0.01,0.082
290,USP7,1.0,0.012958,0.004,0.061
291,C2orf61,9.5142e-05,0.63334,0.371,1.143
292,MYLK4,3.0554000000000003e-13,0.94094,0.661,1.367
293,FOXP1,0.99998,0.06776499999999999,0.03,0.175
294,TBCB,0.011028,0.42816000000000004,0.223,0.9
295,ATXN1,0.97498,0.12209,0.055,0.316
296,SHANK2,8.4299e-07,0.32996,0.241,0.458
297,KANSL1,0.99972,0.1204,0.065,0.238
298,KIF1B,1.0,0.10332000000000001,0.064,0.171
299,CITED2,0.76271,0.0,0.0,0.628
300,WWOX,1.2376e-15,1.0742,0.766,1.532
301,SLC13A5,0.00050598,0.39437,0.242,0.669
302,F8,1.0,0.028416000000000004,0.011,0.089
303,OPHN1,0.99985,0.033915,0.011,0.161
304,PI4KA,3.1234e-12,0.35739,0.279,0.461
305,ABCA4,5.349899999999999e-48,0.7633300000000001,0.642,0.91
